,,,Replicate_1,,,Replicate_2,,,Replicate_3,
STM14_2044,sapC,peptide transport protein,10,274,,11,331,,10,280
STM14_2045,sapD,peptide transport protein,9,166,,10,242,,14,222
STM14_2046,sapF,peptide transport protein,11,484,,11,510,,12,441
STM14_2047,-,hypothetical protein,13,607,,13,598,,14,640
STM14_2048,-,hypothetical protein,4,157,,3,154,,4,189
STM14_2049,-,hypothetical protein,3,178,,3,207,,3,210
STM14_2050,-,putative inner membrane protein,9,170,,8,151,,8,166
STM14_2051,-,hypothetical protein,1,4,,1,9,,1,4
STM14_2052,ycjE,putative cytoplasmic protein,6,404,,5,353,,6,337
STM14_2053,fabI,enoyl-(acyl carrier protein) reductase,0,0,,0,0,,0,0
STM14_2054,-,hypothetical protein,5,157,,5,173,,5,157
STM14_2055,yciW,putative cytoplasmic protein,23,1316,,22,1310,,23,1152
STM14_2056,rnb,exoribonuclease II,26,1305,,23,1211,,26,1258
STM14_2057,-,hypothetical protein,4,267,,4,265,,4,240
STM14_2058,yciR,RNase II stability modulator,32,1223,,33,1255,,34,1403
STM14_2059,-,conserved domain protein,5,59,,3,48,,4,75
STM14_2060,yciT,putative regulatory protein,8,254,,6,238,,6,249
STM14_2061,-,hypothetical protein,6,251,,6,274,,6,283
STM14_2062,osmB,lipoprotein,4,1942,,4,1669,,3,663
STM14_2063,yciH,translation initiation factor Sui1,5,135,,4,129,,5,104
STM14_2064,pyrF,orotidine 5'-phosphate decarboxylase,7,343,,8,370,,8,286
STM14_2065,-,hypothetical protein,1,13,,1,22,,1,16
STM14_2066,yciM,hypothetical protein,3,102,,3,66,,2,90
STM14_2067,yciS,putative inner membrane protein,1,5,,2,19,,1,10
STM14_2068,pgpB,phosphatidylglycerophosphatase B,8,316,,8,342,,8,260
STM14_2069,ribA,GTP cyclohydrolase II,2,152,,2,134,,2,106
STM14_2070,acnA,aconitate hydratase,35,1539,,36,1523,,35,1482
STM14_2071,-,hypothetical protein,3,146,,3,127,,3,157
STM14_2072,cysB,transcriptional regulator CysB,19,924,,20,885,,20,1000
STM14_2073,-,hypothetical protein,6,303,,7,355,,6,390
STM14_2074,-,hypothetical protein,4,165,,4,169,,4,168
STM14_2075,topA,DNA topoisomerase I,6,38831,,6,42032,,9,78176
STM14_2076,-,hypothetical protein,1,123,,1,88,,1,78
STM14_2077,yciN,hypothetical protein,4,204,,3,275,,4,179
STM14_2078,sohB,putative periplasmic protease,13,439,,12,382,,14,498
STM14_2079,-,hypothetical protein,3,56,,4,46,,3,48
STM14_2080,yciK,short chain dehydrogenase,8,337,,6,317,,7,297
STM14_2081,btuR,"cob(I)yrinic acid a,c-diamide adenosyltransferase",13,913,,12,808,,14,865
STM14_2082,yciL,23S rRNA pseudouridylate synthase B,6,285,,6,236,,6,233
STM14_2084,trpH,hypothetical protein,8,525,,8,504,,9,431
STM14_2085,trpL,trp operon leader peptide,1,2,,1,4,,0,0
STM14_2086,trpE,anthranilate synthase component I,20,808,,16,900,,23,969
STM14_2087,trpD,bifunctional anthranilate synthase/anthranilate phosphoribosyltransferase,17,627,,19,743,,18,680
STM14_2088,trpC,bifunctional indole-3-glycerol phosphate synthase/phosphoribosylanthranilate isomerase,17,669,,20,665,,18,760
STM14_2089,trpB,tryptophan synthase subunit beta,14,1220,,16,1216,,16,1264
STM14_2090,trpA,tryptophan synthase subunit alpha,7,365,,8,290,,8,309
STM14_2091,yciG,putative cytoplasmic protein,0,0,,0,0,,0,0
STM14_2092,yciF,putative cytoplasmic protein,5,174,,4,159,,4,179
STM14_2093,yciE,putative cytoplasmic protein,6,202,,6,116,,7,154
STM14_2094,-,putative catalase,17,1117,,17,1170,,17,1007
STM14_2095,ompW,outer membrane protein W,15,810,,15,768,,15,771
STM14_2096,-,putative ferredoxin,10,354,,10,316,,10,366
STM14_2097,yciC,hypothetical protein,16,755,,16,690,,17,699
STM14_2098,yciB,intracellular septation protein A,14,650,,12,539,,13,564
STM14_2099,yciA,acyl-CoA thioester hydrolase,8,410,,8,488,,8,374
STM14_2100,tonB,transport protein TonB,10,177,,9,141,,11,119
STM14_2101,yciI,YciI-like protein,4,117,,4,165,,4,124
STM14_2102,-,hypothetical protein,5,110,,3,38,,4,71
STM14_2103,cls,cardiolipin synthetase,25,1340,,25,1258,,27,1275
STM14_2105,-,putative voltage-gated potassium channel,27,1399,,28,1507,,28,1347
STM14_2106,oppF,oligopeptide transport protein,17,1161,,17,983,,18,992
STM14_2107,oppD,oligopeptide transporter ATP-binding component,13,954,,13,873,,14,1049
STM14_2108,oppC,oligopeptide transport protein,15,577,,14,573,,16,510
STM14_2109,oppB,oligopeptide transporter permease,14,682,,13,799,,15,688
STM14_2110,oppA,oligopeptide transport protein,38,2087,,39,1889,,41,2003
STM14_2111,-,putative inner membrane protein,3,200,,3,241,,4,207
STM14_2112,ychE,hypothetical protein,9,404,,10,536,,9,429
STM14_2113,adhE,bifunctional acetaldehyde-CoA/alcohol dehydrogenase,28,1286,,28,1248,,29,1310
STM14_2114,tdk_2,thymidine kinase,19,1264,,20,1165,,20,1242
STM14_2115,-,hypothetical protein,5,295,,5,302,,5,281
STM14_2116,hns,global DNA-binding transcriptional dual regulator H-NS,2,63,,2,48,,2,57
STM14_2117,-,hypothetical protein,1,7,,1,3,,1,6
STM14_2118,galU,UTP--glucose-1-phosphate uridylyltransferase subunit GalU,13,172,,11,187,,13,188
STM14_2119,hnr,response regulator of RpoS,3,8,,2,16,,4,11
STM14_2120,ychK,hypothetical protein,15,294,,14,215,,15,235
STM14_2121,ychJ,hypothetical protein,14,28176,,14,24727,,14,26460
STM14_2122,purU,formyltetrahydrofolate deformylase,12,462,,13,483,,13,422
STM14_2123,-,hypothetical protein,2,31,,1,42,,1,34
STM14_2127,-,TPR repeat-containing protein,42,2667,,43,2633,,42,2733
STM14_2128,-,conserved hypothetical protein,3,113,,3,88,,3,65
STM14_2129,narI,nitrate reductase 1 gamma subunit,9,502,,8,500,,8,538
STM14_2130,narJ,nitrate reductase 1 delta subunit,5,180,,6,189,,6,197
STM14_2131,narH,nitrate reductase 1 beta subunit,23,818,,19,878,,21,869
STM14_2132,narG,nitrate reductase 1 alpha subunit,62,2836,,55,2872,,65,2804
STM14_2133,-,hypothetical protein,1,4,,1,15,,1,7
STM14_2134,narK,nitrite extrusion protein,21,694,,20,645,,20,606
STM14_2135,-,hypothetical protein,4,93,,4,81,,4,97
STM14_2136,narX,nitrate/nitrite sensor protein NarX,28,1095,,26,1085,,29,1014
STM14_2137,narL,transcriptional regulator NarL,9,391,,10,436,,9,366
STM14_2138,ychP,hypothetical protein,24,1282,,20,1121,,23,1246
STM14_2139,ychN,putative sulfur reduction protein,6,287,,6,275,,5,248
STM14_2140,chaB,cation transport regulator,5,192,,4,211,,5,225
STM14_2141,chaA,calcium/sodium:proton antiporter,17,631,,17,502,,18,551
STM14_2142,kdsA,2-dehydro-3-deoxyphosphooctonate aldolase,0,0,,0,0,,0,0
STM14_2143,ychA,putative transcriptional regulator,8,258,,8,284,,9,304
STM14_2144,sirC,putative transcriptional regulator,5,184,,6,207,,6,159
STM14_2145,hemK,N5-glutamine S-adenosyl-L-methionine-dependent methyltransferase,8,638,,8,666,,7,654
STM14_2146,prfA,peptide chain release factor 1,0,0,,0,0,,0,0
STM14_2147,hemA,glutamyl-tRNA reductase,1,4,,1,3,,0,0
STM14_2148,-,hypothetical protein,3,49,,3,52,,3,22
STM14_2149,lolB,outer membrane lipoprotein LolB,0,0,,0,0,,0,0
STM14_2150,ipk,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase,0,0,,0,0,,0,0
STM14_2151,-,hypothetical protein,0,0,,0,0,,0,0
STM14_2152,-,hypothetical protein,0,0,,0,0,,0,0
STM14_2153,prsA,ribose-phosphate pyrophosphokinase,1,4,,2,8,,1,14
STM14_2154,ychM,putative sulfate transporter YchM,18,745,,17,803,,19,774
STM14_2155,ychH,hypothetical protein,5,176,,5,177,,6,219
STM14_2156,pth,peptidyl-tRNA hydrolase,1,25,,1,19,,1,9
STM14_2157,ychF,translation-associated GTPase,11,382,,11,360,,11,416
STM14_2158,-,hypothetical protein,1,8,,1,19,,1,20
STM14_2159,-,putative cytoplasmic protein,15,811,,15,838,,16,860
STM14_2160,-,hypothetical protein,3,212,,4,229,,3,242
STM14_2161,-,hydrogenase-1 small subunit,14,601,,12,531,,12,566
STM14_2162,-,hydrogenase 1 large subunit,27,1428,,24,1496,,29,1324
STM14_2163,-,hydrogenase 1 b-type cytochrome subunit,13,595,,13,577,,13,549
STM14_2164,-,hydrogenase 1 maturation protease,8,516,,8,481,,8,516
STM14_2165,-,hydrogenase-1 operon protein HyaE,9,177,,9,254,,9,185
STM14_2166,-,putative hydrogenase-1 protein,3,135,,3,181,,3,107
STM14_2167,-,putative cytochrome oxidase subunit I,18,1384,,18,1300,,19,1269
STM14_2168,-,putative cytochrome oxidase subunit II,18,645,,17,707,,18,676
STM14_2169,-,putative periplasmic protein,3,117,,2,103,,3,117
STM14_2170,-,putative glutamic dehyrogenase-like protein,21,788,,20,868,,22,909
STM14_2171,-,hypothetical protein,1,334,,1,211,,1,305
STM14_2172,treA,trehalase,20,834,,19,993,,18,930
STM14_2173,ymgE,putative transglycosylase-associated protein,3,259,,3,314,,3,194
STM14_2174,ycgR,putative inner membrane protein,12,1009,,12,935,,12,903
STM14_2175,emtA,membrane-bound lytic murein transglycosylase E,11,637,,11,592,,14,623
STM14_2176,ldcA,"L,D-carboxypeptidase A",9,879,,9,852,,9,459
STM14_2177,ycgO,potassium/proton antiporter,22,956,,18,791,,22,815
STM14_2178,dadX,alanine racemase,10,343,,11,364,,12,328
STM14_2179,dadA,D-amino acid dehydrogenase small subunit,20,1077,,19,1022,,22,1101
STM14_2180,-,hypothetical protein,2,39,,2,33,,2,40
STM14_2181,ycgB,hypothetical protein,35,2088,,34,1995,,37,1941
STM14_2182,fadR,fatty acid metabolism regulator,13,794,,12,816,,11,786
STM14_2183,nhaB,sodium/proton antiporter,24,804,,23,1004,,26,907
STM14_2184,dsbB,disulfide bond formation protein B,6,392,,6,432,,7,451
STM14_2185,-,putative cytoplasmic protein,3,215,,3,342,,3,239
STM14_2186,-,putative cytoplasmic protein,3,165,,3,161,,3,217
STM14_2187,-,hypothetical protein,1,5,,0,0,,1,10
STM14_2188,-,putative cytoplasmic protein,3,75,,3,91,,3,87
STM14_2189,-,hypothetical protein,1,22,,2,22,,2,31
STM14_2190,ycgN,hypothetical protein,11,595,,11,688,,12,654
STM14_2191,ycgM,hypothetical protein,12,327,,10,369,,12,403
STM14_2192,ycgL,putative cytoplasmic protein,5,152,,5,173,,6,142
STM14_2193,minC,septum formation inhibitor,7,588,,8,528,,8,467
STM14_2194,minD,cell division inhibitor MinD,12,487,,11,473,,14,455
STM14_2195,minE,cell division topological specificity factor MinE,2,116,,2,92,,2,138
STM14_2196,rnd,ribonuclease D,10,595,,10,748,,10,612
STM14_2197,tnpA_6,transposase,0,0,,0,0,,0,0
STM14_2198,-,hypothetical protein,0,0,,0,0,,0,0
STM14_2199,fadD,long-chain-fatty-acid--CoA ligase,26,1295,,28,1411,,26,1381
STM14_2200,-,hypothetical protein,3,63,,3,46,,3,37
STM14_2201,slp,putative outer membrane protein,10,338,,9,324,,10,316
STM14_2202,yeaZ,putative molecular chaperone,0,0,,0,0,,0,0
STM14_2203,yoaA,putative DNA helicase,14,597,,15,625,,15,636
STM14_2204,yoaB,putative translation initiation inhibitor,5,291,,5,315,,7,319
STM14_2205,yoaH,hypothetical protein,2,81,,2,87,,2,69
STM14_2206,pabB,para-aminobenzoate synthase component I,19,666,,17,716,,20,727
STM14_2207,yeaB,hypothetical protein,3,117,,3,117,,3,126
STM14_2208,sdaA,L-serine deaminase I/L-threonine deaminase I,20,939,,22,871,,21,844
STM14_2209,-,putative diguanylate cyclase/phosphodiesterase,24,1422,,24,1585,,24,1329
STM14_2210,yoaE,putative inner membrane protein,19,556,,17,482,,18,576
STM14_2211,-,putative cytoplasmic protein,6,266,,7,295,,7,298
STM14_2212,manX,mannose-specific enzyme IIAB,17,1045,,18,1075,,18,1015
STM14_2213,manY,mannose-specific enzyme IIC,11,358,,10,447,,11,441
STM14_2214,manZ,mannose-specific PTS system protein IID,13,611,,13,618,,12,683
STM14_2215,-,hypothetical protein,8,386,,8,359,,8,282
STM14_2216,yebN,hypothetical protein,6,510,,6,597,,6,571
STM14_2217,rrmA,23S rRNA methyltransferase A,7,428,,7,438,,7,397
STM14_2218,-,putative penicillin-binding protein 3,27,1305,,27,1347,,27,1362
STM14_2219,-,hypothetical protein,2,41,,2,34,,1,30
STM14_2220,cspC,cold shock-like protein CspC,0,0,,0,0,,0,0
STM14_2221,yobF,putative cytoplasmic protein,3,184,,3,232,,3,253
STM14_2222,-,hypothetical protein,0,0,,0,0,,0,0
STM14_2223,-,hypothetical protein,0,0,,0,0,,0,0
STM14_2224,-,hypothetical protein,0,0,,0,0,,0,0
STM14_2225,-,hypothetical protein,1,5,,1,22,,2,16
STM14_2226,yobG,hypothetical protein,4,116,,5,149,,5,147
STM14_2227,-,hypothetical protein,3,141,,2,184,,3,130
STM14_2228,kdgR,putative transcriptional repressor,14,650,,12,815,,14,804
STM14_2229,-,hypothetical protein,3,198,,3,223,,3,249
STM14_2230,-,putative transport protein,14,859,,15,747,,14,847
STM14_2231,htpX,heat shock protein HtpX,11,413,,12,402,,11,446
STM14_2232,prc,carboxy-terminal protease,21,803,,21,770,,22,742
STM14_2233,proQ,putative solute/DNA competence effector,7,164,,7,215,,7,186
STM14_2234,yebR,putative nucleotide-binding protein,10,857,,9,837,,10,811
STM14_2235,yebS,putative inner membrane protein,22,986,,19,1032,,21,1005
STM14_2236,-,putative inner membrane protein,43,2144,,43,2018,,44,2059
STM14_2237,yebU,rRNA (cytosine-C(5)-)-methyltransferase RsmF,14,884,,12,816,,14,820
STM14_2238,-,hypothetical protein,5,247,,7,237,,5,285
STM14_2239,-,putative cytoplasmic protein,3,276,,3,322,,3,253
STM14_2240,yebW,putative inner membrane lipoprotein,3,106,,3,133,,3,108
STM14_2241,pphA,serine/threonine protein phosphatase 1,9,564,,9,543,,9,585
STM14_2242,-,putative inner membrane protein,3,211,,3,232,,3,188
STM14_2243,-,hypothetical protein,1,31,,2,20,,3,32
STM14_2244,sopE2,type III-secreted effector protein,10,214,,9,341,,11,265
STM14_2245,-,hypothetical protein,1,10,,2,6,,1,9
STM14_2246,-,hypothetical protein,1,34,,1,37,,1,71
STM14_2247,-,putative cytoplasmic protein,9,247,,8,268,,8,252
STM14_2248,-,hypothetical protein,6,366,,6,349,,6,324
STM14_2249,-,putative acetyltransferase,14,666,,14,658,,15,664
STM14_2250,-,conserved hypothetical protein,2,52,,2,54,,2,60
STM14_2251,-,putative cytoplasmic protein,5,201,,5,180,,6,212
STM14_2252,-,putative cytoplasmic protein,8,830,,8,691,,8,745
STM14_2255,-,hypothetical protein,2,9,,1,3,,2,19
STM14_2256,pagO,integral membrane protein,11,202,,11,163,,13,192
STM14_2257,-,putative inner membrane protein,0,0,,0,0,,0,0
STM14_2258,-,putative inner membrane protein,5,155,,5,181,,5,175
STM14_2260,-,hypothetical protein,0,0,,0,0,,0,0
STM14_2261,-,conserved hypothetical protein,1,2,,0,0,,0,0
STM14_2263,-,hypothetical protein,0,0,,0,0,,0,0
STM14_2264,-,tail fiber assembly protein,1,8,,1,4,,1,5
STM14_2265,pagK,PagK,2,21,,2,29,,2,24
STM14_2266,mig-3,phage side tail fiber assembly protein,15,314,,14,274,,16,276
STM14_2267,-,hypothetical protein,3,131,,3,160,,3,133
STM14_2268,-,hypothetical protein,2,81,,2,103,,3,88
STM14_2269,-,lytic enzyme,2,19,,3,24,,3,29
STM14_2270,-,hypothetical protein,1,13,,1,13,,1,23
STM14_2271,-,hypothetical protein,5,82,,4,59,,5,69
STM14_2272,-,phage-tail assembly-like protein,5,254,,6,274,,4,249
STM14_2273,-,hypothetical protein,2,91,,2,103,,2,55
STM14_2274,-,RecE-like protein,4,166,,5,138,,6,125
STM14_2276,-,hypothetical protein,2,287,,2,281,,2,282
STM14_2277,-,putative cytoplasmic protein,3,85,,3,107,,3,84
STM14_2278,-,hypothetical protein,1,21,,2,49,,2,34
STM14_2279,-,putative inner membrane protein,12,456,,11,494,,12,497
STM14_2280,yobA,hypothetical protein,6,215,,6,186,,6,263
STM14_2281,holE,DNA polymerase III subunit theta,2,170,,3,140,,3,177
STM14_2282,-,putative amidohydrolase,9,694,,11,685,,11,717
STM14_2283,exoX,exodeoxyribonuclease X,19,588,,19,608,,21,585
STM14_2284,ptrB,protease 2,50,3024,,53,3045,,54,3143
STM14_2285,yebE,putative inner membrane protein,12,601,,12,589,,12,630
STM14_2286,yebF,hypothetical protein,3,296,,3,318,,3,320
STM14_2287,yebG,DNA damage-inducible protein YebG,3,188,,3,185,,3,183
STM14_2288,purT,phosphoribosylglycinamide formyltransferase 2,14,737,,12,735,,15,709
STM14_2289,eda,keto-hydroxyglutarate-aldolase/keto-deoxy- phosphogluconate aldolase,1,2,,1,4,,2,3
STM14_2290,edd,phosphogluconate dehydratase,19,654,,19,706,,20,703
STM14_2291,-,hypothetical protein,2,100,,2,99,,2,85
STM14_2292,zwf,glucose-6-phosphate 1-dehydrogenase,10,338,,9,226,,10,274
STM14_2293,-,hypothetical protein,1,86,,1,125,,1,44
STM14_2294,-,hypothetical protein,6,656,,5,602,,6,568
STM14_2295,yebK,DNA-binding transcriptional regulator HexR,12,654,,12,695,,12,744
STM14_2296,pykA,pyruvate kinase,13,463,,14,456,,16,465
STM14_2297,msbB,lipid A biosynthesis (KDO)2-(lauroyl)-lipid IVA acyltransferase,2,38,,2,19,,2,14
STM14_2298,-,hypothetical protein,0,0,,0,0,,0,0
STM14_2299,yebA,hypothetical protein,18,795,,18,704,,19,720
STM14_2300,znuA,high-affinity zinc transporter periplasmic component,16,771,,15,775,,16,842
STM14_2301,znuC,high-affinity zinc transporter ATPase,12,455,,13,400,,13,439
STM14_2302,znuB,high-affinity zinc transporter membrane component,15,478,,16,452,,18,480
STM14_2303,ruvB,Holliday junction DNA helicase B,10,289,,9,219,,8,230
STM14_2304,ruvA,Holliday junction DNA helicase motor protein,12,570,,11,579,,12,451
STM14_2305,-,hypothetical protein,2,36,,2,57,,3,35
STM14_2306,-,hypothetical protein,2,56,,3,44,,3,59
STM14_2308,yebB,hypothetical protein,9,420,,10,466,,10,399
STM14_2309,ruvC,Holliday junction resolvase,7,284,,6,349,,7,240
STM14_2310,yebC,hypothetical protein,7,346,,8,400,,7,309
STM14_2311,ntpA,dATP pyrophosphohydrolase,7,217,,8,198,,8,249
STM14_2312,aspS,aspartyl-tRNA synthetase,0,0,,0,0,,0,0
STM14_2313,-,hypothetical protein,3,151,,3,139,,3,157
STM14_2314,yecD,hypothetical protein,7,185,,6,155,,7,192
STM14_2315,yecE,hypothetical protein,8,751,,9,709,,8,827
STM14_2316,yecN,putative inner membrane protein,12,583,,13,580,,13,591
STM14_2317,yecO,putative SAM-dependent methyltransferase,8,215,,8,191,,9,200
STM14_2318,yecP,putative enzyme,11,507,,11,489,,13,472
STM14_2319,cutC,copper homeostasis protein CutC,11,393,,11,334,,14,392
STM14_2320,yecM,hypothetical protein,7,213,,8,173,,8,198
STM14_2321,-,hypothetical protein,2,90,,2,94,,2,59
STM14_2322,argS,arginyl-tRNA synthetase,0,0,,0,0,,0,0
STM14_2323,-,hypothetical protein,3,301,,4,306,,3,296
STM14_2324,-,putative penicillin-binding protein,33,1480,,31,1353,,34,1366
STM14_2325,-,putative cytoplasmic protein,20,1108,,21,1176,,21,1109
STM14_2326,flhE,flagellar protein,2,96,,2,128,,2,78
STM14_2327,flhA,flagellar biosynthesis protein FlhA,20,837,,18,792,,20,752
STM14_2328,flhB,flagellar biosynthesis protein FlhB,11,703,,9,699,,12,635
STM14_2329,-,hypothetical protein,2,56,,2,94,,2,74
STM14_2330,cheZ,chemotaxis regulator CheZ,4,180,,4,248,,4,179
STM14_2331,cheY,chemotaxis regulatory protein CheY,6,180,,5,172,,5,212
STM14_2332,cheB,chemotaxis-specific methylesterase,11,401,,10,424,,12,464
STM14_2333,cheR,chemotaxis methyltransferase CheR,12,387,,12,412,,12,377
STM14_2334,cheM,methyl accepting chemotaxis protein II,10,318,,11,318,,14,331
STM14_2335,cheW,purine-binding chemotaxis protein,9,411,,9,463,,10,526
STM14_2336,cheA,chemotaxis protein CheA,17,731,,17,776,,18,703
STM14_2337,motB,flagellar motor protein MotB,15,826,,15,805,,15,771
STM14_2338,motA,flagellar motor protein MotA,9,778,,10,724,,10,821
STM14_2339,-,hypothetical protein,4,172,,4,193,,4,170
STM14_2340,flhC,transcriptional activator FlhC,6,268,,6,296,,6,282
STM14_2341,flhD,transcriptional activator FlhD,5,412,,5,352,,5,384
STM14_2342,-,hypothetical protein,1,24,,1,11,,1,7
STM14_2343,-,hypothetical protein,2,57,,2,66,,2,65
STM14_2344,yecG,universal stress protein UspC,7,330,,7,375,,7,394
STM14_2345,otsA,trehalose-6-phosphate synthase,18,752,,18,727,,18,761
STM14_2346,otsB,trehalose-6-phosphate phosphatase,14,613,,13,578,,15,521
STM14_2348,araH,putative intracellular protease/amidase,8,550,,7,477,,8,534
STM14_2349,-,hypothetical protein,5,162,,4,168,,5,185
STM14_2350,ftnB,ferritin-like protein,8,293,,7,295,,7,239
STM14_2351,-,hypothetical protein,11,326,,10,390,,11,326
STM14_2352,-,putative outer membrane lipoprotein,7,137,,6,87,,7,100
STM14_2353,ftn,ferritin,8,268,,8,207,,8,216
STM14_2354,yecH,putative cytoplasmic protein,4,117,,4,113,,5,97
STM14_2355,tyrP,tyrosine-specific transport protein,18,913,,22,1092,,21,984
STM14_2356,yecA,hypothetical protein,7,174,,7,171,,7,186
STM14_2357,-,putative glucose-6-phosphate dehydrogenase,8,233,,8,183,,8,190
STM14_2358,-,putative cell wall-associated hydrolase,38,2136,,36,2067,,36,1991
STM14_2359,-,putative inner membrane protein,4,58,,3,53,,3,61
STM14_2363,pgsA,phosphatidylglycerophosphate synthetase,0,0,,0,0,,0,0
STM14_2364,uvrC,excinuclease ABC subunit C,28,979,,26,967,,29,1009
STM14_2365,uvrY,response regulator,9,555,,9,609,,11,601
